ROCK1
ANAPC1
BOD1L
CSMD3
GAK
GOLGA4
HEATR5A
RREB1
SP3
TNRC6A
ZNF91
DOPEY2
LRPPRC
PRDM15
SH3TC1
KIAA2026
VPS13B
BRCA1
HIST1H2BK
RNF213
TRRAP
TNRC18
UBR4
FOXC1
HLA-C
JAK3
SYNE2
TAF1
SOCS1
FOXO1
KLHL14
ARID1B
TMSB4X
CARD11
MYD88
