GeneSymbol	cd8_eff	cd8_mem	th1_rest	th1_act	th2_rest	th2_act	cd4_mem_rest	cd4_mem_act	treg	nk_rest	nk_act	dc_rest	dc_act	pmn	baso	mast_pro	mast_naive	eos	tfh	mac_1	mac_2	mac_3	mac_4	mac_5	mac_6	mac_7
HSPA6	20.279925941296298	34.01617905391871	11.430100744495164	11.577840315431786	10.732411186064178	11.52578344805668	22.88370158470961	20.776504820468592	28.986469550028	59.762702982057014	44.568790577860476	42.598398028216785	22.515488581634	978.3159057602368	715.6648977054037	354.88555024235455	15.42579194767901	126.07554969091967	189.57873935089438	161.6778718396822	403.72148058616216	105.0500733356197	273.25686596463675	259.4798022798338	221.9008939089166	176.27278939071687
CCL5	1649.6889518172254	1224.571200246389	2448.5866476579313	1735.2853922686706	1361.3553317165968	1438.9903941366404	338.5261118242897	139.2878779166671	12.341734369081475	1511.6551820681823	1057.904414468053	18.906156582035642	730.8917903671418	125.95747059486766	92.15979649444398	63.880553337305706	10.992374366213102	26.473070917105	13.884561006009212	114.75946403832516	1001.3706609514929	617.0668541348434	77.2295204349989	796.7542821733041	36.680464423821284	1038.687345243302
CYP2A7	13.664018762948198	15.766422748421633	15.074019054344062	16.9306372446615	14.82088023109066	16.37575865934105	23.757115659611184	21.239468097980083	36.305045374450316	26.47352036225249	21.067602562975882	24.13501740431477	23.40762942158676	31.838497701990097	1718.997499585904	1084.2596215116116	25.203909308115982	32.19300996130698	16.027071470630723	11.611172321211267	11.560974358388336	11.29978187246112	13.09148554065612	11.830038769801805	9.865613372763475	14.911655920622687
CASP1	193.1585250829865	110.91099096996874	117.00305870338285	16.971969215772685	111.75108889916999	26.30145202589677	162.65663014889645	38.15838859903409	79.38783062785424	184.91311682395374	118.57455325023619	90.48540333581012	110.00785751767724	292.78631259690053	17.334536714171925	14.85529452377132	162.6037549490405	108.10524551425704	22.540434401889307	83.59163261547506	103.17108325053452	75.86402469381481	100.73039535264337	119.43220480618116	101.1721943076858	129.9815023755822
CSF3R	34.20597013902689	10.899963367539314	14.34650668588965	15.159393250207131	14.214830441512175	14.38155424316266	14.052232168572575	12.197516301215748	14.162430510793655	24.612812189380687	14.81758839639043	23.19873519248325	15.05991324086928	1601.5488955351166	42.845739530118244	38.471803690635184	22.62251725568461	34.42663426967781	12.98026039914467	55.36409820887765	53.559695027179835	84.23925862632862	122.72878244297463	92.06534744560601	86.08545917185923	91.20132386315761
SLC18A2	8.428598445837544	28.371958852623603	9.156923270964931	8.513829344909764	8.335710073649086	8.766391318752966	8.687448040348537	8.118395664464563	7.612803528503011	7.329546105384985	7.749645830736449	13.596453579571767	7.7578204529127746	9.212882895414554	700.105772740536	563.6651594477854	1095.3720012416245	28.378520815935776	8.404633462284176	11.972443671262559	10.164931984177038	10.214674831840098	11.176025412006585	9.429104083396691	9.178104098128317	11.44946056551539
FEZ1	9.652721390184057	17.610165185914443	13.762969972631163	18.851492807824723	8.353974968158509	8.711856461669372	13.511893297342652	11.571991067713483	10.85396067704805	95.93611700439207	446.07699791175094	11.953108001743674	13.865586185581167	17.013224017130504	32.880313497902485	20.7142652673209	15.372497673473836	17.906803611482353	7.945395680382591	15.155353918732944	14.764546249219375	14.16285894117027	14.36397403260381	15.227390889461788	14.8338464431366	16.015412656379265
PPARGC1B	13.969467586202233	4.962286533048814	8.484969530040232	10.674108288062962	8.179269964453582	10.074493353771258	4.830167439382193	4.643011191432671	4.742555486686344	6.312496883698064	4.924373263040914	7.169786018738895	4.794068829294797	7.790917359779772	18.043060281994588	14.376721435083988	8.287607198331978	8.92791153024462	14.068303561079302	49.468864284785525	131.4285116684612	41.03306243987315	27.512228868846503	28.66245562233018	33.89852285594393	33.479410461999656
PRF1	540.9565221012243	1163.1766537023786	1008.5728264100904	1230.6661421145914	627.1104228945474	569.2333248550805	270.8578328560696	185.68722174481232	286.38178466484305	3081.575578399834	3378.043823480575	12.726145301409465	15.016980452914018	100.39526441580301	46.477025611950985	86.31383982512756	42.988690082336845	30.06006993409436	62.270377657025215	51.52500566868122	59.335948929149495	37.344448686447684	62.8410148616492	63.7446381820437	48.926127222840854	47.86248746065641
ADGRG3	10.982872524208878	15.247738152436947	11.984376403923164	11.993213697228642	11.624343152041797	12.596938393042493	17.374449931593436	16.082061436359243	26.108780467302296	33.76082473811751	48.91736718201744	24.44504401320191	22.905197406669746	183.25568040289292	99.58133265129277	58.42129708268728	29.303819395471784	543.9929944416953	11.162046143271084	10.559444250194234	9.452583041736546	11.487074407080614	9.061231246915334	9.481980477901855	12.182327984514606	11.012078364312927
P2RY10	72.36362650163223	44.15983994939094	74.88784064069633	13.034748828546185	87.96244131542835	46.69012600976894	14.005631644690753	9.562844755043153	26.801833776894036	9.758842978646987	8.016853046021362	6.494236963385875	7.62739232808332	38.31845585656107	14.480350483738462	177.740526940099	10.977345351565415	209.6747414778763	88.5268760336124	11.843620937926861	14.232192832212233	17.625307754195315	13.481894894413879	20.06714835082021	12.864381996314004	10.930903110859402
CBS	10.052838411907448	8.989495972189722	17.47901911837179	13.681615185549697	14.75875440742938	12.566167871871322	8.161381863962285	11.922115210343945	13.558698446880312	10.478230562612662	9.235445389035029	15.500408538462892	10.48245162179312	16.10242974363817	159.65885484754173	118.91056839558739	20.60005541021278	8.066427792914581	11.54092056292457	50.51297197713473	40.34387930669875	93.67471599809113	33.30264610763036	27.06876930504388	67.14196594722905	39.27067336374752
