BRCA1
SH3TC1
MLH3
SLC38A10
GAK
HIST1H2AG
SP3
LTBP4
MAN2B2
NFKBIL2
KIAA2026
LRPPRC
ROCK1
ATAD3A
ANKRD27
CHD3
GIGYF1
DFNA5
SNX25
KIAA0226
TTC21B
INADL
LIMD1
PRRC1
SFPQ
WRNIP1
ZZEF1
ANAPC1
BOD1L
CSMD3
GOLGA4
HEATR5A
RREB1
TNRC6A
ZNF91
ALOX15B
SFRS16
VPS13B
DENND4C
FBF1
KLHL17
LRFN4
PSMD2
RBM27
ZFP62
ZNF746
TNRC18
UBR4
BZRAP1
REPIN1
SREBF1
ZNF493
C12orf51
ALDH1B1
ATAD5
ATG4B
AURKAIP1
C9orf93
CNOT2
CP110
FAM20B
FZD1
G6PD
HIST1H4K
KDM2A
KIAA0415
MCPH1
MYO1F
NRBP2
NSMAF
PARD3
PDK1
PHF15
PHKB
PPP3CA
RUNX3
SLC5A6
STXBP5
TIPRL
TRIM65
TRIP11
USP20
WDR62
ZNF324B
ZNF564
PIGO
EVPL
PIK3R6
USP25
TRRAP
CEP164
COPB1
CTDP1
DOCK1
EML4
FBN1
PHRF1
DMXL1
POLQ
ABCB6
AGAP3
ARMC5
AUTS2
CARM1
EML2
FAM129A
FAM26F
FASTKD1
GLYR1
PIWIL4
RABGEF1
RBM15
RNF160
SFRS1
SLCO4A1
SLIT3
SLK
THADA
TNFRSF1B
TNKS2
VPS37A
ZNF180
NUP98
HSPA1B
MFHAS1
SPTBN1
HIST1H2BK
ATP2C1
FAM43A
NRP1
SHKBP1
ZFHX4
BBS1
CUL5
EPB41L3
EXOC8
FAM175A
FOXRED2
GYS1
KREMEN2
NEIL1
QARS
SECISBP2L
SEMA4B
SLC12A6
SSH3
SYNJ2
TBL3
TGM2
ZNF200
ZW10
DOPEY2
PRDM15
ALOX5
ANKRD36
ANUBL1
ATHL1
BMF
CDC42BPB
CDCA7
DAGLB
DDX58
DIAPH1
FIZ1
ING1
MUC16
SDCCAG1
SIGLEC11
SLC45A4
SLC4A2
UHRF1
ZNF408
ACACA
PIK3AP1
ZCCHC11
ZNF142
C19orf29
FBXL6
FLI1
INTS2
INVS
MFN1
REPS1
SEC24A
ZNF419
ATAD2
FLNB
HK1
KNTC1
MAP3K11
MBD1
MDC1
NEK1
NXF1
PIF1
RAD21
RBM15B
SPAG5
TMC6
RNF213
DENND4B
C11orf80
AXIN1
CLCN2
DAK
DDX26B
FURIN
HJURP
IDUA
ITGAL
KDM1B
MEGF8
MYO18A
NFE2L1
PARP12
RHOQ
SIPA1L1
SNX13
TFAP4
VPS39
HAUS5
HIST1H2BD
PPARGC1B
ST6GAL1
VPS13D
DNAJC13
LYST
MCTP2
MLL
SCRIB
SMC2
TIMELESS
FOXC1
AMBRA1
COL7A1
EML6
EP400
IFT172
MLL5
PTPRC
VPS13C
TGS1
ZNF646
DNHD1
MAPK8IP3
TEP1
HIST2H2AA3
INTS1
DOCK9
FRY
HSPA1A
MOV10
NLRC3
PDE4B
TCIRG1
WWP1
ZNF516
TP53BP1
ATP11A
MAN2A2
NIPBL
JAK3
ACACB
ALG5
ANAPC5
ASNS
C19orf2
DMPK
FGFR1
GPI
KIAA1161
L3MBTL4
MKLN1
NDFIP2
SHC1
STK10
STXBP2
TMEM195
TTC14
UBR3
USP40
YME1L1
ZBTB10
ZCCHC4
BAT2L1
GIYD1
DCLRE1A
FILIP1L
LIN54
LOC100132247
MAP4K5
NDST2
PRR22
SNED1
ZNF808
HLA-C
AHNAK
RSPH10B
DOCK2
PRR12
USP17
AKAP13
HIVEP3
NSD1
URB1
VWF
DOCK8
FLNA
ITPR2
MYH10
PHF3
ARHGEF11
CCDC50
FANCM
GOLGB1
HK2
KIAA0195
LRP1
LRP1B
MICAL1
RB1CC1
RC3H2
SRPR
SUPT6H
TBCC
UBE2O
CEP135
FASTKD3
FBRS
FOXO3
GMIP
KDM6B
MED24
MEX3D
MTHFR
MUTYH
MYO3A
NBPF1
NOTCH3
PIK3R2
PLEKHG1
SMARCAD1
TFEB
TMC8
TTC15
ZFPM1
ZNF518A
ZNF786
HIVEP2
KIF13B
KIF1C
PRIC285
WDHD1
SYNCRIP
CD80
FTSJD2
KIAA0802
LOC643677
RBM38
SLC19A1
TRNT1
AKAP12
C2orf86
ERCC6
FUK
HIST1H2AK
KIF16B
LLGL1
LRRCC1
MCM8
MIDN
PACS1
PCSK7
PRR14
SAMD9
SIGLEC10
VCPIP1
WNT10A
ZNF319
ZNF775
ZNF800
SYNE2
GRHPR
TAF1
PCNT
MKI67
ABCF1
LAMA2
TRAF3IP1
ZC3H4
ZNF318
COL5A1
SNX18
ANKRD12
MYB
HTT
OBSCN
TUBGCP6
APC
AQR
ATP13A2
ATP9B
CCDC97
GCDH
GNL2
INPP1
IPO5
L3MBTL2
PKHD1L1
RBM33
RBM6
RLF
VARS2
ZBTB4
ARHGAP25
LAMA5
PDS5B
RFC1
STAB1
TRIO
ASCC3
CENPF
CIT
DYSF
MYO5A
NBEAL2
PBRM1
TCF20
TPR
DNAH1
ZFP36L2
KIFC2
TAF1C
ZBTB7A
SON
FOXO1
AP1B1
ASH1L
BRPF1
CABIN1
CEP290
EEF2
EIF4G3
KIAA0947
MED16
MYST4
NSUN2
POLE
SYNE1
VPS13A
ATP6AP1
C7orf27
CLASP2
DDX60
FARP1
MYH7B
TRANK1
ZNF777
DIP2A
NCAPD3
ABCC5
ARHGAP17
ATP8B3
C5orf42
CAPRIN1
CCDC80
DHX8
DTX2
GTSE1
HDAC9
HECTD1
LPAR5
MAP3K5
MKL1
MSL2
PER3
POM121C
PTPRF
SLC39A10
TJP1
ZFHX3
TMSB4X
TMEM49
HSPG2
ATP2A3
BLM
CAPRIN2
CDAN1
CHD7
CSF2RB
HIST4H4
HVCN1
IFT140
KIAA1429
KRBA1
MAP3K1
PFAS
PIP5K1C
PNPLA6
POLR3A
PYGB
SETBP1
SFI1
TTC37
TTF2
XIRP2
ZC3H12D
ZCCHC2
MCM3
TTN
ITPR3
MALT1
NUP153
BLK
CCDC21
CDT1
CLCN7
ERAP2
GCC1
HIST1H3G
LRDD
NVL
RBM25
CEP350
EIF3A
NEURL4
PLEC
ABCA7
PKD1
AKAP9
CBL
CD79A
DENND3
EIF4G1
FBRSL1
GTF3C1
IKZF1
PHIP
SCAF1
TSC2
CDC73
CENPE
GSG2
PRDM2
MLL4
NBAS
HIST1H2AM
AKNA
CRIPAK
KIAA0368
C19orf20
CEBPZ
UBR2
BRCA2
CCDC41
CELSR1
GBF1
HEATR6
HIST1H2BG
LMNB1
MYOF
NUP214
PEPD
PLAT
SIPA1L3
ZMIZ2
ZNF335
KLHL14
BAT2L2
BAZ2A
CDCA2
DOK3
DST
DVL1
DYNC1H1
FARP2
IGF2R
PCNX
PLCB3
SIPA1
SOLH
SPTAN1
TGFBR2
TNXB
ZFYVE26
JAK1
CDKN1B
LRBA
NCOA6
RTTN
UGGT1
ZFX
ARID1B
FAM118A
IFNAR2
ABCA3
C20orf135
EIF2AK1
FBXL19
NCKAP1L
PTER
SEMA6C
SIK1
ZNF700
IRF2BP2
C4A
HIST1H2AC
LTB
HNRNPD
MECOM
LY75
MACF1
MIB2
STAT5B
MYD88
ABCC1
ANXA6
CHD6
DIS3
EEF1A1
ERBB2IP
FRK
GNPTAB
HIVEP1
IL6
ITSN2
